"Census_FIP_Code","Year","NativeAmerican_AlaskaNative","Asian","Black_AfricanAmerican","Hispanic","White","TotalNumberChildren","county_name","metro_name","COI_Level_Metro","COI_Scores_Metro","Education_Level_Metro","Education_Score_Metro","HealthEnviro_Level_Metro","HealthEnviro_Score_Metro","SocialEconomic_Level_Metro","SocialEconomic_Score_Metro"
51036600200,2012,68,0,269,5,97,467,"Charles City County, Virginia","Richmond, VA","Very Low",12,"Very Low",19,"Very Low",1,"Very Low",17
51036600200,2013,50,0,240,4,101,449,"Charles City County, Virginia","Richmond, VA","Very Low",13,"Very Low",20,"Very Low",3,"Very Low",18
51036600200,2014,31,0,220,5,102,397,"Charles City County, Virginia","Richmond, VA","Very Low",13,"Low",21,"Very Low",3,"Very Low",16
51036600200,2015,40,0,208,7,114,412,"Charles City County, Virginia","Richmond, VA","Very Low",16,"Low",21,"Very Low",6,"Very Low",17
51036600200,2016,28,0,198,12,93,381,"Charles City County, Virginia","Richmond, VA","Very Low",18,"Low",22,"Very Low",12,"Very Low",20
51036600200,2017,36,0,201,13,121,426,"Charles City County, Virginia","Richmond, VA","Low",21,"Low",22,"Very Low",20,"Very Low",20
51036600200,2018,31,0,214,10,127,423,"Charles City County, Virginia","Richmond, VA","Very Low",20,"Low",23,"Very Low",16,"Very Low",20
51036600200,2019,35,0,230,12,115,433,"Charles City County, Virginia","Richmond, VA","Low",22,"Low",24,"Very Low",17,"Low",22
51036600300,2012,23,0,137,16,168,328,"Charles City County, Virginia","Richmond, VA","Very Low",14,"Low",22,"Very Low",1,"Low",22
51036600300,2013,33,0,116,9,147,296,"Charles City County, Virginia","Richmond, VA","Very Low",14,"Low",22,"Very Low",3,"Very Low",20
51036600300,2014,29,0,118,11,173,320,"Charles City County, Virginia","Richmond, VA","Very Low",14,"Low",22,"Very Low",2,"Low",22
51036600300,2015,6,0,138,13,138,282,"Charles City County, Virginia","Richmond, VA","Very Low",17,"Low",22,"Very Low",4,"Low",24
51036600300,2016,7,0,97,0,159,263,"Charles City County, Virginia","Richmond, VA","Very Low",19,"Low",24,"Very Low",5,"Low",24
51036600300,2017,0,0,80.0000000000001,0,139,249,"Charles City County, Virginia","Richmond, VA","Low",24,"Low",27,"Very Low",11,"Low",27
51036600300,2018,0,0,102,0,103,238,"Charles City County, Virginia","Richmond, VA","Low",24,"Low",26,"Very Low",8,"Low",31
51036600300,2019,0,0,121,0,106,260,"Charles City County, Virginia","Richmond, VA","Low",24,"Low",30,"Very Low",13,"Low",27
51041100106,2012,0,18.0409590558567,54.100670855132,67.5619830831864,661.667724397683,823.318613074781,"Chesterfield County, Virginia","Richmond, VA","High",63,"High",67,"Very Low",11,"High",73
51041100106,2013,0,23.0464766072457,54.4893058116574,65.2449063992914,626.249043970049,806.07034873414,"Chesterfield County, Virginia","Richmond, VA","High",64,"High",68,"Very Low",14,"High",73
51041100106,2014,0,18.0576095703163,106.320820409281,56.2114425242955,509.036037142572,726.654572130278,"Chesterfield County, Virginia","Richmond, VA","High",61,"High",63,"Very Low",8,"High",69
51041100106,2015,0,15.9998766128229,133.238016191228,97.3239413332595,513.423510291713,773.088021202002,"Chesterfield County, Virginia","Richmond, VA","High",61,"High",68,"Very Low",12,"High",66
51041100106,2016,0,11.9998751650298,145.749336801975,90.0665185963978,498.090513478726,756.058632078095,"Chesterfield County, Virginia","Richmond, VA","High",65,"High",77,"Low",23,"High",69
51041100106,2017,0,14.9998026294644,138.628751555533,97.271909291123,564.919537766035,824.819882819835,"Chesterfield County, Virginia","Richmond, VA","High",66,"High",65,"Moderate",50,"High",69
51041100106,2018,0,10.9998242269657,132.908437122942,80.671974139879,573.431178652103,798.01141414189,"Chesterfield County, Virginia","Richmond, VA","High",64,"High",65,"Moderate",44,"High",69
51041100106,2019,0,10.9997924374467,122.755371835026,41.5879226195045,624.318261892,799.661348783977,"Chesterfield County, Virginia","Richmond, VA","High",68,"High",67,"Moderate",44,"High",75
51041100107,2012,0,12.9981200696838,233.809886998761,176.007120014683,79.0743587394942,489.968013620913,"Chesterfield County, Virginia","Richmond, VA","Very Low",11,"Moderate",41,"Very Low",1,"Very Low",10
51041100107,2013,0,0,207.282335858239,87.0550287388561,126.027000072393,406.550055297022,"Chesterfield County, Virginia","Richmond, VA","Very Low",14,"Moderate",44,"Very Low",1,"Very Low",13
51041100107,2014,0,0.0889238032804699,191.39216583208,95.0800706187916,128.030408832949,428.740753433818,"Chesterfield County, Virginia","Richmond, VA","Very Low",11,"Moderate",44,"Very Low",1,"Very Low",12
51041100107,2015,0,0.0990170587453145,214.099570242397,73.1266470902148,139.986374711349,457.563169199457,"Chesterfield County, Virginia","Richmond, VA","Very Low",15,"Moderate",48,"Very Low",1,"Very Low",13
51041100107,2016,0,0.0665250844519928,282.99289345672,138.048685716102,138.955637775733,588.360862697201,"Chesterfield County, Virginia","Richmond, VA","Very Low",16,"Moderate",47,"Very Low",3,"Very Low",12
51041100107,2017,0,0.049528647539799,287.213026351253,125.031496429631,116.985443051998,562.517687088518,"Chesterfield County, Virginia","Richmond, VA","Very Low",17,"Moderate",45,"Very Low",4,"Very Low",14
51041100107,2018,0,4.06655449272698,280.701444531162,160.98140965632,64.020901637068,537.900462710936,"Chesterfield County, Virginia","Richmond, VA","Very Low",19,"Moderate",44,"Very Low",4,"Very Low",16
51041100107,2019,0,4.00097334718063,298.615119703066,264.735563166231,44.0144483959358,630.490928907117,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Moderate",48,"Very Low",5,"Very Low",16
51041100206,2012,0,0,444,279,654,1492,"Chesterfield County, Virginia","Richmond, VA","Low",26,"Moderate",42,"Very Low",1,"Moderate",44
51041100206,2013,0,0,414,258,568,1377,"Chesterfield County, Virginia","Richmond, VA","Low",25,"Low",37,"Very Low",1,"Moderate",42
51041100206,2014,0,0,275,354,489,1302,"Chesterfield County, Virginia","Richmond, VA","Low",24,"Low",40,"Very Low",1,"Low",37
51041100206,2015,0,0,283,251,320,1149,"Chesterfield County, Virginia","Richmond, VA","Low",34,"Low",36,"Very Low",5,"Moderate",51
51041100206,2016,0,0,232,305,420,1185,"Chesterfield County, Virginia","Richmond, VA","Low",38,"Moderate",41,"Very Low",6,"Moderate",51
51041100206,2017,0,0,218,428,354,1196,"Chesterfield County, Virginia","Richmond, VA","Low",35,"Low",37,"Very Low",11,"Moderate",46
51041100206,2018,93,0,278,607,265,1527,"Chesterfield County, Virginia","Richmond, VA","Moderate",41,"Low",36,"Very Low",16,"Moderate",51
51041100206,2019,63,0,310,640,290,1471,"Chesterfield County, Virginia","Richmond, VA","Low",36,"Low",34,"Very Low",11,"Moderate",51
51041100208,2012,0,9,63.0265470819689,36.0248232454774,496.135838315529,596.197896429222,"Chesterfield County, Virginia","Richmond, VA","Moderate",60,"High",62,"Very Low",5,"High",71
51041100208,2013,0,14,121.014464069368,52.0070396933361,497.044123105226,668.0704738699,"Chesterfield County, Virginia","Richmond, VA","High",62,"High",62,"Very Low",7,"High",72
51041100208,2014,0,11,117,59,535,705.000000000001,"Chesterfield County, Virginia","Richmond, VA","High",61,"High",63,"Very Low",6,"High",71
51041100208,2015,0,0,76,42,445,557,"Chesterfield County, Virginia","Richmond, VA","High",64,"High",67,"Very Low",12,"High",73
51041100208,2016,0,0,64,40,337,445,"Chesterfield County, Virginia","Richmond, VA","High",72,"High",68,"Moderate",43,"Very High",81
51041100208,2017,0,0,63,29,361,469,"Chesterfield County, Virginia","Richmond, VA","Very High",82,"High",74,"High",72,"Very High",83
51041100208,2018,0,0,90.0000000000001,19,307,416,"Chesterfield County, Virginia","Richmond, VA","Very High",81,"High",74,"High",64,"Very High",82
51041100208,2019,0,0,73,31,307,419,"Chesterfield County, Virginia","Richmond, VA","High",78,"High",74,"Moderate",53,"Very High",82
51041100209,2012,0,0,536,148,467,1191,"Chesterfield County, Virginia","Richmond, VA","Low",34,"Low",38,"Very Low",3,"Moderate",57
51041100209,2013,0,0,311,76,542,992,"Chesterfield County, Virginia","Richmond, VA","Moderate",46,"Moderate",59,"Very Low",4,"Moderate",56
51041100209,2014,0,0,398,57,625,1144,"Chesterfield County, Virginia","Richmond, VA","Moderate",46,"Moderate",52,"Very Low",4,"Moderate",58
51041100209,2015,0,0,474,201,723,1435,"Chesterfield County, Virginia","Richmond, VA","Moderate",47,"Moderate",48,"Very Low",12,"Moderate",53
51041100209,2016,0,16,624,165,472,1368,"Chesterfield County, Virginia","Richmond, VA","Moderate",48,"Moderate",53,"Low",23,"Moderate",51
51041100209,2017,0,58,658,142,355,1394,"Chesterfield County, Virginia","Richmond, VA","Moderate",48,"Low",40,"Moderate",42,"Moderate",52
51041100209,2018,0,48,637,230,197,1270,"Chesterfield County, Virginia","Richmond, VA","Moderate",46,"Low",39,"Low",32,"Moderate",51
51041100209,2019,0,82,286,322,338,1197,"Chesterfield County, Virginia","Richmond, VA","Moderate",52,"Moderate",50,"Moderate",42,"Moderate",51
51041100210,2012,0,14,166,79,122,380,"Chesterfield County, Virginia","Richmond, VA","Very Low",12,"Low",24,"Very Low",1,"Low",25
51041100210,2013,0,22,201,178,163,570,"Chesterfield County, Virginia","Richmond, VA","Very Low",14,"Low",29,"Very Low",1,"Very Low",20
51041100210,2014,0,26,182,100,190,535.999999999999,"Chesterfield County, Virginia","Richmond, VA","Very Low",17,"Low",33,"Very Low",1,"Low",24
51041100210,2015,0,0,161,59,131,387,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",35,"Very Low",3,"Low",27
51041100210,2016,0,0,114,86,163,442,"Chesterfield County, Virginia","Richmond, VA","Low",25,"Low",36,"Very Low",6,"Low",29
51041100210,2017,0,0,157,158,71,453,"Chesterfield County, Virginia","Richmond, VA","Low",23,"Low",36,"Very Low",12,"Very Low",20
51041100210,2018,0,0,97.9999999999999,96.0000000000001,129,386,"Chesterfield County, Virginia","Richmond, VA","Low",23,"Low",36,"Very Low",6,"Low",23
51041100210,2019,0,14,148,105,107,484,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",39,"Very Low",4,"Low",22
51041100211,2012,0,5.03464889695553,503.85252427926,270.709310150227,44.5372852220265,851.243441761063,"Chesterfield County, Virginia","Richmond, VA","Very Low",9,"Low",29,"Very Low",1,"Very Low",12
51041100211,2013,0,6.62328806419898,380.255281452091,291.424843606634,80.6483042220535,804.535584179974,"Chesterfield County, Virginia","Richmond, VA","Very Low",13,"Low",33,"Very Low",1,"Very Low",16
51041100211,2014,0,6.69121126516916,385.729695764947,303.859916865843,96.0386078796025,837.190010607322,"Chesterfield County, Virginia","Richmond, VA","Very Low",15,"Low",35,"Very Low",1,"Very Low",19
51041100211,2015,0,14.3721807326984,359.306132528525,399.227330115604,84.2370126363202,884.689390583973,"Chesterfield County, Virginia","Richmond, VA","Very Low",17,"Low",36,"Very Low",3,"Very Low",20
51041100211,2016,0,18.2139553514703,397.875809110329,397.064688254974,76.9035196216461,903.010219660134,"Chesterfield County, Virginia","Richmond, VA","Very Low",20,"Low",35,"Very Low",6,"Very Low",18
51041100211,2017,0,12.3055568588117,388.447680222513,376.550648714964,68.911382772053,888.874533947753,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",35,"Very Low",14,"Very Low",17
51041100211,2018,0,11.634609047229,549.737745294084,348.623512688212,69.8079406572561,1027.58882450654,"Chesterfield County, Virginia","Richmond, VA","Low",23,"Low",38,"Low",25,"Very Low",15
51041100211,2019,0,10.0983974276142,490.195814565443,408.56544553844,25.6670717005219,971.554179742028,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",34,"Very Low",17,"Very Low",16
51041100212,2012,0,7.96441070311766,797.101030908031,428.255179528705,70.4552738055042,1346.66456655246,"Chesterfield County, Virginia","Richmond, VA","Very Low",9,"Low",28,"Very Low",1,"Very Low",12
51041100212,2013,0,10.3742781207764,595.647855954641,456.479634987584,126.324247325005,1260.22956204903,"Chesterfield County, Virginia","Richmond, VA","Very Low",13,"Low",33,"Very Low",1,"Very Low",16
51041100212,2014,0,10.3047715694172,594.082436190274,467.966232352914,147.905663534113,1289.3659008703,"Chesterfield County, Virginia","Richmond, VA","Very Low",14,"Low",33,"Very Low",1,"Very Low",19
51041100212,2015,0,21.6151724150317,540.423297322363,600.423841439215,126.690683542518,1330.58356937433,"Chesterfield County, Virginia","Richmond, VA","Very Low",17,"Low",34,"Very Low",3,"Very Low",20
51041100212,2016,0,26.7651524818617,584.712365014059,583.48978130168,113.011547719122,1327.01391916652,"Chesterfield County, Virginia","Richmond, VA","Very Low",19,"Low",33,"Very Low",6,"Very Low",18
51041100212,2017,0,17.6771852267001,558.047091317034,540.931871829064,98.9965810647488,1276.93366454947,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",33,"Very Low",14,"Very Low",17
51041100212,2018,0,16.3462296243561,772.393224280749,489.813568482491,98.0813086690016,1443.77084235575,"Chesterfield County, Virginia","Richmond, VA","Low",23,"Low",36,"Low",25,"Very Low",15
51041100212,2019,0,13.8826059004567,673.917531884304,561.680263177414,35.2886315449457,1335.67184149481,"Chesterfield County, Virginia","Richmond, VA","Low",22,"Low",33,"Very Low",17,"Very Low",16
51041100300,2012,0,0,166.903804101934,17.882550439493,159.949478931021,386.461784497931,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Very Low",19,"Very Low",1,"Very Low",13
51041100300,2013,0,0,195.694934415781,39.7350120641179,143.046043430825,388.409742926752,"Chesterfield County, Virginia","Richmond, VA","Very Low",9,"Low",21,"Very Low",1,"Very Low",12
51041100300,2014,0,0,161.861619518722,115.189864197373,164.840667730723,449.836280012154,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Low",21,"Very Low",1,"Very Low",12
51041100300,2015,0,0,183.596635860306,205.429749313964,165.733179398222,554.759564572491,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Very Low",19,"Very Low",1,"Very Low",9
51041100300,2016,0,0,187.457000253895,323.338529538464,136.873365264748,687.34233426428,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Very Low",20,"Very Low",1,"Very Low",7
51041100300,2017,0,6.93895937816987,229.976939390773,353.886928286663,162.569905431408,785.093689644362,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Very Low",19,"Very Low",4,"Very Low",7
51041100300,2018,0,11.8889374400991,190.222999041585,346.760675336223,153.565441934613,717.299225552645,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Very Low",19,"Very Low",3,"Very Low",7
51041100300,2019,0,15.8436711240433,213.889560174584,346.580305838446,133.680975109115,732.769789487001,"Chesterfield County, Virginia","Richmond, VA","Very Low",9,"Very Low",19,"Very Low",5,"Very Low",7
51041100403,2012,0,158,284,340,466,1196,"Chesterfield County, Virginia","Richmond, VA","Low",30,"Moderate",60,"Very Low",1,"Moderate",47
51041100403,2013,0,27,236,218,580,1109,"Chesterfield County, Virginia","Richmond, VA","Low",35,"Moderate",59,"Very Low",1,"Moderate",52
51041100403,2014,0,24,314,212,558,1143,"Chesterfield County, Virginia","Richmond, VA","Low",33,"Moderate",59,"Very Low",1,"Moderate",50
51041100403,2015,20,17,388,243,636,1339,"Chesterfield County, Virginia","Richmond, VA","Low",36,"High",62,"Very Low",2,"Moderate",49
51041100403,2016,19,18,227,44,649,1057,"Chesterfield County, Virginia","Richmond, VA","Moderate",41,"Moderate",53,"Very Low",5,"Moderate",51
51041100403,2017,21,45,268,26,765,1192,"Chesterfield County, Virginia","Richmond, VA","Low",39,"Moderate",48,"Very Low",7,"Moderate",48
51041100403,2018,21,38,252,116,769,1273,"Chesterfield County, Virginia","Richmond, VA","Low",38,"Moderate",52,"Very Low",6,"Moderate",46
51041100403,2019,29,68,175,151,920,1425,"Chesterfield County, Virginia","Richmond, VA","Low",39,"Moderate",52,"Very Low",9,"Moderate",45
51041100404,2012,10,6.00028034624456,105.001138549034,349.00050347897,97.0007094476393,575.00275769163,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Low",22,"Very Low",1,"Very Low",2
51041100404,2013,13,7.00004515006538,122.000301000436,382.000348031754,65.0002972379305,581.001032807746,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Low",22,"Very Low",1,"Very Low",3
51041100404,2014,10,10,89,459,73,634,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Low",22,"Very Low",1,"Very Low",2
51041100404,2015,0,20,113,439,73,654,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Low",22,"Very Low",1,"Very Low",2
51041100404,2016,0,23,101,364,70,584,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Low",22,"Very Low",1,"Very Low",2
51041100404,2017,26,12,49,301,80,516,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Very Low",20,"Very Low",1,"Very Low",2
51041100404,2018,18,15,39,326,50,471,"Chesterfield County, Virginia","Richmond, VA","Very Low",1,"Very Low",19,"Very Low",1,"Very Low",2
51041100404,2019,23,11,32,329,36,451,"Chesterfield County, Virginia","Richmond, VA","Very Low",3,"Very Low",20,"Very Low",1,"Very Low",3
51041100405,2012,0,7,186.01419881737,355.00707687088,190.003470822024,713.020238949204,"Chesterfield County, Virginia","Richmond, VA","Very Low",3,"Low",22,"Very Low",1,"Very Low",7
51041100405,2013,0,3,137.005014732738,446.002822663937,147.000780736833,735.007326914899,"Chesterfield County, Virginia","Richmond, VA","Very Low",3,"Low",22,"Very Low",1,"Very Low",6
51041100405,2014,38,5.99999999999999,209,418,116,769,"Chesterfield County, Virginia","Richmond, VA","Very Low",3,"Low",22,"Very Low",1,"Very Low",7
51041100405,2015,36,4,245,467,97,816,"Chesterfield County, Virginia","Richmond, VA","Very Low",4,"Low",22,"Very Low",1,"Very Low",7
51041100405,2016,45,1,276,428,11,786,"Chesterfield County, Virginia","Richmond, VA","Very Low",5,"Low",22,"Very Low",1,"Very Low",5
51041100405,2017,31,0,200,446,29,712,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Low",22,"Very Low",1,"Very Low",7
51041100405,2018,28,0,226,373,15,648,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Very Low",19,"Very Low",1,"Very Low",7
51041100405,2019,0,0,173,291,23,492,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Very Low",19,"Very Low",1,"Very Low",9
51041100406,2012,0,0,314.98580118263,156.992923129121,76.9965291779763,448.979761050797,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Low",23,"Very Low",1,"Very Low",12
51041100406,2013,0,0,333.994985267262,187.997177336064,51.9992192631665,487.992673085101,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Low",32,"Very Low",1,"Very Low",8
51041100406,2014,0,0,169,75,53,354,"Chesterfield County, Virginia","Richmond, VA","Very Low",10,"Moderate",44,"Very Low",1,"Very Low",12
51041100406,2015,0,0,103,67,56,281,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Low",27,"Very Low",1,"Very Low",8
51041100406,2016,0,0,149,48,53,320,"Chesterfield County, Virginia","Richmond, VA","Very Low",8,"Low",29,"Very Low",1,"Very Low",7
51041100406,2017,0,0,233,67,60,425,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Low",23,"Very Low",2,"Very Low",5
51041100406,2018,0,0,254,135,42,487,"Chesterfield County, Virginia","Richmond, VA","Very Low",5,"Very Low",20,"Very Low",2,"Very Low",4
51041100406,2019,0,0,295,115,47,519,"Chesterfield County, Virginia","Richmond, VA","Very Low",6,"Very Low",20,"Very Low",4,"Very Low",3
51041100407,2012,0,48.9997196537554,198.998861450966,87.9994965210303,123.999290552361,481.99724230837,"Chesterfield County, Virginia","Richmond, VA","Very Low",11,"Low",26,"Very Low",1,"Low",22
51041100407,2013,0,23.9999548499346,159.999698999564,184.999651968246,157.99970276207,548.998967192254,"Chesterfield County, Virginia","Richmond, VA","Very Low",13,"Low",32,"Very Low",1,"Low",22
51041100407,2014,0,40,189,204,215,680,"Chesterfield County, Virginia","Richmond, VA","Very Low",14,"Low",33,"Very Low",1,"Low",23
51041100407,2015,0,29,295,142,266,763,"Chesterfield County, Virginia","Richmond, VA","Very Low",16,"Low",33,"Very Low",1,"Low",23
51041100407,2016,0,32,199,150,259,649,"Chesterfield County, Virginia","Richmond, VA","Very Low",20,"Low",32,"Very Low",3,"Low",24
51041100407,2017,0,24,170,267,296,766.000000000001,"Chesterfield County, Virginia","Richmond, VA","Low",21,"Low",32,"Very Low",4,"Low",24
51041100407,2018,0,0,153,279,287,735,"Chesterfield County, Virginia","Richmond, VA","Very Low",15,"Low",29,"Very Low",1,"Low",22
51041100407,2019,0,0,198,323,313,842,"Chesterfield County, Virginia","Richmond, VA","Very Low",16,"Low",29,"Very Low",3,"Low",22
